URL,category,Product Title,Price,Images,Video Source,Moissanite Facet Pattern,Stone Size,Stone,Metal,Band,Finger Size Info,images_Stone_size,image_metal,image_Finger_Ring_Size,Material,Cut,Clarity,Color,Additional Fatures
https://zenmoissanite.com/collections/radiant-engagement-rings/products/harley-with-pave-radiant,radiant engagement rings,Harley (with Pavé) - Radiant,"Rs. 151,400.00","https://zenmoissanite.com/cdn/shop/products/9x6mm_2cte_BrilliantRadiant4-prongHarley_1.7mm3_4paveband_-14kYG-Size6.jpg, https://zenmoissanite.com/cdn/shop/products/9x6mm_2cte_BrilliantRadiant4-prongHarley_1.7mm3_4paveband_-14kYG-Size6-2.jpg, https://zenmoissanite.com/cdn/shop/products/9x6mm_2cte_BrilliantRadiant4-prongHarley_1.7mm3_4paveband_-14kYG-Size6-3.jpg, https://zenmoissanite.com/cdn/shop/products/9x6mm_2cte_BrilliantRadiant4-prongHarley_1.7mm3_4paveband_-14kYG-Size6-4.jpg, https://zenmoissanite.com/cdn/shop/products/9x6mm_2cte_BrilliantRadiant4-prongHarley_1.7mm3_4paveband_-14kYG-Size6-5.jpg, https://zenmoissanite.com/cdn/shop/products/9x6mm_2cte_BrilliantRadiant4-prongHarley_1.7mm3_4paveband_-14kYG-Size6Closeup-2.jpg, https://zenmoissanite.com/cdn/shop/products/9x6mm_2cte_BrilliantRadiant4-prongHarley_1.7mm3_4paveband_-14kYG-Size6Closeup.jpg, https://zenmoissanite.com/cdn/shop/products/a98b892bb20a420ebdd0a6e8a3b55c06.thumbnail.0000000000_610x.jpg, https://zenmoissanite.com/cdn/shop/products/9x6mm_2cte_BrilliantRadiant4-prongHarley_1.7mm3_4paveband_-14kYG-Size6Closeup-3.jpg, https://zenmoissanite.com/cdn/shop/products/9x6mm_2cte_BrilliantRadiant4-prongHarley_1.7mm3_4paveband_-14kYG-Size6Closeup-4.jpg, https://zenmoissanite.com/cdn/shop/products/9x6mm_2cte_BrilliantRadiant4-prongHarley_1.7mm3_4paveband_-14kYG-Size6Closeup-5.jpg, https://zenmoissanite.com/cdn/shop/products/9x6mm_2cte_BrilliantRadiant4-prongHarley_1.7mm3_4paveband_-14kYG-Size6lifestyle.jpg, https://zenmoissanite.com/cdn/shop/products/9x6mm_2cte_BrilliantRadiant4-prongHarley_1.7mm3_4paveband_-14kYG-Size6lifestyle-4.jpg, https://zenmoissanite.com/cdn/shop/products/9x6mm_2cte_BrilliantRadiant4-prongHarley_1.7mm3_4paveband_-14kYG-Size6lifestyle-3.jpg, https://zenmoissanite.com/cdn/shop/products/9x6mm_2cte_BrilliantRadiant4-prongHarley_1.7mm3_4paveband_-14kYG-Size6lifestyle-2.jpg",https://zenmoissanite.com/cdn/shop/videos/c/vp/a98b892bb20a420ebdd0a6e8a3b55c06/a98b892bb20a420ebdd0a6e8a3b55c06.HD-1080p-7.2Mbps-9620172.mp4?v=0,,,"['MOISSANITE', 'LAB-DIAMOND']","14k rose gold, 14k yellow gold,  14k white gold,  18k rose gold, 18k yellow gold, 18k white gold, platinum","THIN, STANDARD, WIDE, CUSTOM",", 3.25, 3.5, 3.75, 4, 4.25, 4.5, 4.75, 5, 5.25, 5.5, 5.75, 6, 6.25, 6.5, 6.75, 7, 7.25, 7.5, 7.75, 8, 8.25, 8.50, 8.75, 9, 9.25, 9.5, 9.75, 10, 10.25, 10.5, 10.75, 11, 11.25, 11.5, 11.75, 12, 12.25, 12.5, 12.75, 12.75+ Contact our team for additional sizes",9x6mm radiant brilliant,14k yellow gold,Shown on a size 4.75 finger,Metal of choice + Moissanite from Zen Moissanite,Radiant (brilliant or crushed ice),VVS,Colorless (EF),
https://zenmoissanite.com/collections/radiant-engagement-rings/products/the-harley-crushed-ice-radiant,radiant engagement rings,Harley - Radiant,"Rs. 105,100.00","https://zenmoissanite.com/cdn/shop/products/9x7mm_2.4cte_CrushedIceRadiant4-prongHarley_1.6mmplainband_-18kYG-Size5.25.jpg, https://zenmoissanite.com/cdn/shop/products/9x7mm_2.4cte_CrushedIceRadiant4-prongHarley_1.6mmplainband_-18kYG-Size5.25-2.jpg, https://zenmoissanite.com/cdn/shop/products/9x7mm_2.4cte_CrushedIceRadiant4-prongHarley_1.6mmplainband_-18kYG-Size5.25-3.jpg, https://zenmoissanite.com/cdn/shop/products/9x7mm_2.4cte_CrushedIceRadiant4-prongHarley_1.6mmplainband_-18kYG-Size5.25-4.jpg, https://zenmoissanite.com/cdn/shop/products/9x7mm_2.4cte_CrushedIceRadiant4-prongHarley_1.6mmplainband_-18kYG-Size5.25-5.jpg, https://zenmoissanite.com/cdn/shop/products/9x7mm_2.4cte_CrushedIceRadiant4-prongHarley_1.6mmplainband_-18kYG-Size5.25Lifestyle-2.jpg, https://zenmoissanite.com/cdn/shop/products/9x7mm_2.4cte_CrushedIceRadiant4-prongHarley_1.6mmplainband_-18kYG-Size5.25Lifestyle-3.jpg, https://zenmoissanite.com/cdn/shop/products/9x7mm_2.4cte_CrushedIceRadiant4-prongHarley_1.6mmplainband_-18kYG-Size5.25Lifestyle-6.jpg, https://zenmoissanite.com/cdn/shop/products/9x7mm_2.4cte_CrushedIceRadiant4-prongHarley_1.6mmplainband_-18kYG-Size5.25Lifestyle-5.jpg, https://zenmoissanite.com/cdn/shop/products/9x7mm_2.4cte_CrushedIceRadiant4-prongHarley_1.6mmplainband_-18kYG-Size5.25Lifestyle-4.jpg, https://zenmoissanite.com/cdn/shop/products/9x7mm_2.4cte_CrushedIceRadiant4-prongHarley_1.6mmplainband_-18kYG-Size5.25Lifestyle.jpg, https://zenmoissanite.com/cdn/shop/products/77a28a1cfcaf48f5b14576fb72d13db3.thumbnail.0000000000_610x.jpg",https://zenmoissanite.com/cdn/shop/videos/c/vp/77a28a1cfcaf48f5b14576fb72d13db3/77a28a1cfcaf48f5b14576fb72d13db3.HD-1080p-7.2Mbps-9347800.mp4?v=0,,,"['MOISSANITE', 'LAB-DIAMOND']","14k rose gold, 14k yellow gold,  14k white gold,  18k rose gold, 18k yellow gold, 18k white gold, platinum","THIN, STANDARD, WIDE, CUSTOM",", 3.25, 3.5, 3.75, 4, 4.25, 4.5, 4.75, 5, 5.25, 5.5, 5.75, 6, 6.25, 6.5, 6.75, 7, 7.25, 7.5, 7.75, 8, 8.25, 8.50, 8.75, 9, 9.25, 9.5, 9.75, 10, 10.25, 10.5, 10.75, 11, 11.25, 11.5, 11.75, 12, 12.25, 12.5, 12.75, 12.75+ Contact our team for additional sizes",9x7mm crushed ice radiant,18k yellow gold,Shown on a size 4.75 finger,Metal of choice + Moissanite from Zen Moissanite,Radiant (crushed ice or brilliant),VVS1/VVS2,Colorless (DEF),Our signature solitaire design featuring claw prongs and a hidden halo.
https://zenmoissanite.com/collections/radiant-engagement-rings/products/the-jasmine-radiant,radiant engagement rings,Jasmine (with Pavé) - Radiant,"Rs. 145,300.00","https://zenmoissanite.com/cdn/shop/products/9x7mm_2.4cte_BrilliantRadiant4-prongJasmine_1.6mmpaveband_-14kWG-Size4.25.jpg, https://zenmoissanite.com/cdn/shop/products/9x7mm_2.4cte_BrilliantRadiant4-prongJasmine_1.6mmpaveband_-14kWG-Size4.25-2.jpg, https://zenmoissanite.com/cdn/shop/products/9x7mm_2.4cte_BrilliantRadiant4-prongJasmine_1.6mmpaveband_-14kWG-Size4.25-3.jpg, https://zenmoissanite.com/cdn/shop/products/9x7mm_2.4cte_BrilliantRadiant4-prongJasmine_1.6mmpaveband_-14kWG-Size4.25-4.jpg, https://zenmoissanite.com/cdn/shop/products/9x7mm_2.4cte_BrilliantRadiant4-prongJasmine_1.6mmpaveband_-14kWG-Size4.25-5.jpg, https://zenmoissanite.com/cdn/shop/products/9x7mm_2.4cte_BrilliantRadiant4-prongJasmine_1.6mmpaveband_-14kWG-Size4.25Lifestyle-3.jpg, https://zenmoissanite.com/cdn/shop/products/9x7mm_2.4cte_BrilliantRadiant4-prongJasmine_1.6mmpaveband_-14kWG-Size4.25Lifestyle-2.jpg, https://zenmoissanite.com/cdn/shop/products/9x7mm_2.4cte_BrilliantRadiant4-prongJasmine_1.6mmpaveband_-14kWG-Size4.25Lifestyle.jpg, https://zenmoissanite.com/cdn/shop/products/b7c074b411ec44aa95bb144fbb54e865.thumbnail.0000000_610x.jpg",https://zenmoissanite.com/cdn/shop/videos/c/vp/b7c074b411ec44aa95bb144fbb54e865/b7c074b411ec44aa95bb144fbb54e865.HD-1080p-7.2Mbps.mp4?v=0,,,"['MOISSANITE', 'LAB-DIAMOND']","14k rose gold, 14k yellow gold,  14k white gold,  18k rose gold, 18k yellow gold, 18k white gold, platinum","THIN, STANDARD, WIDE, CUSTOM",", 3.25, 3.5, 3.75, 4, 4.25, 4.5, 4.75, 5, 5.25, 5.5, 5.75, 6, 6.25, 6.5, 6.75, 7, 7.25, 7.5, 7.75, 8, 8.25, 8.50, 8.75, 9, 9.25, 9.5, 9.75, 10, 10.25, 10.5, 10.75, 11, 11.25, 11.5, 11.75, 12, 12.25, 12.5, 12.75, 12.75+ Contact our team for additional sizes",9x7mm radiant brilliant,14k white gold,Shown on a size 4.75 finger,Metal of choice + Moissanite from Zen Moissanite,Radiant (brilliant or crushed ice),VVS1/VVS2,Colorless (DEF),"DisclaimerDue to the invisible gallery feature, this ring design cannot undergo a standard resizing process. Please note that recasting is required for any size adjustments, whether it is to size up or down."
https://zenmoissanite.com/collections/radiant-engagement-rings/products/the-jasmine-plain-gold-band-crushed-ice-radiant,radiant engagement rings,Jasmine - Radiant,"Rs. 98,900.00","https://zenmoissanite.com/cdn/shop/products/10x9mmCrushedIceRadiantJasmine_PlainBand_-14kYG-Size8.25.jpg, https://zenmoissanite.com/cdn/shop/products/10x9mmCrushedIceRadiantJasmine_PlainBand_-14kYG-Size8.25-2.jpg, https://zenmoissanite.com/cdn/shop/products/10x9mmCrushedIceRadiantJasmine_PlainBand_-14kYG-Size8.25-3.jpg, https://zenmoissanite.com/cdn/shop/products/10x9mmCrushedIceRadiantJasmine_PlainBand_-14kYG-Size8.25-4.jpg, https://zenmoissanite.com/cdn/shop/products/10x9mmCrushedIceRadiantJasmine_PlainBand_-14kYG-Size8.25-5.jpg, https://zenmoissanite.com/cdn/shop/products/10x9mmCrushedIceRadiantJasmine_PlainBand_-14kYG-Size8.25Closeup.jpg, https://zenmoissanite.com/cdn/shop/products/10x9mmCrushedIceRadiantJasmine_PlainBand_-14kYG-Size8.25Closeup-2.jpg, https://zenmoissanite.com/cdn/shop/products/10x9mmCrushedIceRadiantJasmine_PlainBand_-14kYG-Size8.25Closeup-3.jpg, https://zenmoissanite.com/cdn/shop/products/10x9mmCrushedIceRadiantJasmine_PlainBand_-14kYG-Size8.25Closeup-4.jpg, https://zenmoissanite.com/cdn/shop/products/10x9mmCrushedIceRadiantJasmine_PlainBand_-14kYG-Size8.25Closeup-5.jpg",,,,"['MOISSANITE', 'LAB-DIAMOND']","14k rose gold, 14k yellow gold,  14k white gold,  18k rose gold, 18k yellow gold, 18k white gold, platinum","THIN, STANDARD, WIDE, CUSTOM",", 3.25, 3.5, 3.75, 4, 4.25, 4.5, 4.75, 5, 5.25, 5.5, 5.75, 6, 6.25, 6.5, 6.75, 7, 7.25, 7.5, 7.75, 8, 8.25, 8.50, 8.75, 9, 9.25, 9.5, 9.75, 10, 10.25, 10.5, 10.75, 11, 11.25, 11.5, 11.75, 12, 12.25, 12.5, 12.75, 12.75+ Contact our team for additional sizes",10x9mm crushed ice radiant,14k yellow gold,,Metal of choice + Moissanite from Zen Moissanite,Radiant (crushed ice or brilliant),VVS1/VVS2,Colorless (DEF),"DisclaimerDue to the invisible gallery feature, this ring design cannot undergo a standard resizing process. Please note that recasting is required for any size adjustments, whether it is to size up or down."
https://zenmoissanite.com/collections/radiant-engagement-rings/products/michelle-radiant-1,radiant engagement rings,Michelle - Radiant,"Rs. 117,500.00","https://zenmoissanite.com/cdn/shop/files/10x7mm_3.4cte_BrilliantRadiant4-prongMichelle_1.7mm1-4paveband_-18kYG-Size4.5.jpg, https://zenmoissanite.com/cdn/shop/files/10x7mm_3.4cte_BrilliantRadiant4-prongMichelle_1.7mm1-4paveband_-18kYG-Size4.5-2.jpg, https://zenmoissanite.com/cdn/shop/files/10x7mm_3.4cte_BrilliantRadiant4-prongMichelle_1.7mm1-4paveband_-18kYG-Size4.5-3.jpg, https://zenmoissanite.com/cdn/shop/files/10x7mm_3.4cte_BrilliantRadiant4-prongMichelle_1.7mm1-4paveband_-18kYG-Size4.5-4.jpg, https://zenmoissanite.com/cdn/shop/files/10x7mm_3.4cte_BrilliantRadiant4-prongMichelle_1.7mm1-4paveband_-18kYG-Size4.5-5.jpg, https://zenmoissanite.com/cdn/shop/files/10x7mm_3.4cte_BrilliantRadiant4-prongMichelle_1.7mm1-4paveband_-18kYG-Size4.5Lifestyle-2.jpg, https://zenmoissanite.com/cdn/shop/files/10x7mm_3.4cte_BrilliantRadiant4-prongMichelle_1.7mm1-4paveband_-18kYG-Size4.5Lifestyle-3.jpg, https://zenmoissanite.com/cdn/shop/files/10x7mm_3.4cte_BrilliantRadiant4-prongMichelle_1.7mm1-4paveband_-18kYG-Size4.5Lifestyle-4.jpg, https://zenmoissanite.com/cdn/shop/files/10x7mm_3.4cte_BrilliantRadiant4-prongMichelle_1.7mm1-4paveband_-18kYG-Size4.5Lifestyle-5.jpg, https://zenmoissanite.com/cdn/shop/files/10x7mm_3.4cte_BrilliantRadiant4-prongMichelle_1.7mm1-4paveband_-18kYG-Size4.5Lifestyle-6.jpg, https://zenmoissanite.com/cdn/shop/files/10x7mm_3.4cte_BrilliantRadiant4-prongMichelle_1.7mm1-4paveband_-18kYG-Size4.5Lifestyle.jpg, https://zenmoissanite.com/cdn/shop/files/preview_images/f9dc918990274745af2749818443a98c.thumbnail.0000000000_610x.jpg",https://zenmoissanite.com/cdn/shop/videos/c/vp/f9dc918990274745af2749818443a98c/f9dc918990274745af2749818443a98c.HD-1080p-7.2Mbps-16919518.mp4?v=0,,,"['MOISSANITE', 'LAB-DIAMOND']","14k rose gold, 14k yellow gold,  14k white gold,  18k rose gold, 18k yellow gold, 18k white gold, platinum","THIN, STANDARD, WIDE, CUSTOM",", 3.25, 3.5, 3.75, 4, 4.25, 4.5, 4.75, 5, 5.25, 5.5, 5.75, 6, 6.25, 6.5, 6.75, 7, 7.25, 7.5, 7.75, 8, 8.25, 8.50, 8.75, 9, 9.25, 9.5, 9.75, 10, 10.25, 10.5, 10.75, 11, 11.25, 11.5, 11.75, 12, 12.25, 12.5, 12.75, 12.75+ Contact our team for additional sizes",10x7mm brilliant radiant,14k yellow gold,Shown on a size 4.75 finger,Metal of choice + Moissanite from Zen Moissanite,Radiant (crushed ice or brilliant),VVS1/VVS2,Colorless (DEF),
https://zenmoissanite.com/collections/radiant-engagement-rings/products/the-randi-crushed-ice-radiant,radiant engagement rings,Randi - Radiant,"Rs. 89,600.00","https://zenmoissanite.com/cdn/shop/products/9x8mm_2.8cte_BrilliantRadiant4-prongRandi_1.6mmplainband_-14kWG-Size6.jpg, https://zenmoissanite.com/cdn/shop/products/9x8mm_2.8cte_BrilliantRadiant4-prongRandi_1.6mmplainband_-14kWG-Size6-2.jpg, https://zenmoissanite.com/cdn/shop/products/9x8mm_2.8cte_BrilliantRadiant4-prongRandi_1.6mmplainband_-14kWG-Size6-3.jpg, https://zenmoissanite.com/cdn/shop/products/9x8mm_2.8cte_BrilliantRadiant4-prongRandi_1.6mmplainband_-14kWG-Size6-4.jpg, https://zenmoissanite.com/cdn/shop/products/9x8mm_2.8cte_BrilliantRadiant4-prongRandi_1.6mmplainband_-14kWG-Size6-5.jpg, https://zenmoissanite.com/cdn/shop/products/9x8mm_2.8cte_BrilliantRadiant4-prongRandi_1.6mmplainband_-14kWG-Size6Lifestyle-6.jpg, https://zenmoissanite.com/cdn/shop/products/9x8mm_2.8cte_BrilliantRadiant4-prongRandi_1.6mmplainband_-14kWG-Size6Lifestyle-4.jpg, https://zenmoissanite.com/cdn/shop/products/100a60d7e12242a0a0e08bd632267e1b.thumbnail.0000000_610x.jpg",https://zenmoissanite.com/cdn/shop/videos/c/vp/100a60d7e12242a0a0e08bd632267e1b/100a60d7e12242a0a0e08bd632267e1b.HD-1080p-7.2Mbps.mp4?v=0,,,"['MOISSANITE', 'LAB-DIAMOND']","14k rose gold, 14k yellow gold,  14k white gold,  18k rose gold, 18k yellow gold, 18k white gold, platinum","THIN, STANDARD, WIDE, CUSTOM",", 3.25, 3.5, 3.75, 4, 4.25, 4.5, 4.75, 5, 5.25, 5.5, 5.75, 6, 6.25, 6.5, 6.75, 7, 7.25, 7.5, 7.75, 8, 8.25, 8.50, 8.75, 9, 9.25, 9.5, 9.75, 10, 10.25, 10.5, 10.75, 11, 11.25, 11.5, 11.75, 12, 12.25, 12.5, 12.75, 12.75+ Contact our team for additional sizes",9x8mm radiant brilliant,14k white gold,Shown on size 4.75 finger,Metal of choice + Moissanite from Zen Moissanite,Radiant (crushed ice or brilliant),VVS1-VVS2,Colorless (DEF),
https://zenmoissanite.com/collections/radiant-engagement-rings/products/randi-cushion,radiant engagement rings,Randi - Squared Radiant,"Rs. 143,700.00","https://zenmoissanite.com/cdn/shop/files/8mm_2.4cte_BrilliantCushionRandi_1.6mmplainband_-14kYG-Size5.5.jpg, https://zenmoissanite.com/cdn/shop/files/8mm_2.4cte_BrilliantCushionRandi_1.6mmplainband_-14kYG-Size5.5_-2.jpg, https://zenmoissanite.com/cdn/shop/files/8mm_2.4cte_BrilliantCushionRandi_1.6mmplainband_-14kYG-Size5.5_-3.jpg, https://zenmoissanite.com/cdn/shop/files/8mm_2.4cte_BrilliantCushionRandi_1.6mmplainband_-14kYG-Size5.5_-4.jpg, https://zenmoissanite.com/cdn/shop/files/8mm_2.4cte_BrilliantCushionRandi_1.6mmplainband_-14kYG-Size5.5_-5.jpg, https://zenmoissanite.com/cdn/shop/files/8mm_2.4cte_BrilliantCushionRandi_1.6mmplainband_-14kYG-Size5.5Lifestyle-2.jpg, https://zenmoissanite.com/cdn/shop/files/8mm_2.4cte_BrilliantCushionRandi_1.6mmplainband_-14kYG-Size5.5Lifestyle-3.jpg, https://zenmoissanite.com/cdn/shop/files/8mm_2.4cte_BrilliantCushionRandi_1.6mmplainband_-14kYG-Size5.5Lifestyle-4.jpg, https://zenmoissanite.com/cdn/shop/files/8mm_2.4cte_BrilliantCushionRandi_1.6mmplainband_-14kYG-Size5.5Lifestyle-5.jpg, https://zenmoissanite.com/cdn/shop/files/8mm_2.4cte_BrilliantCushionRandi_1.6mmplainband_-14kYG-Size5.5Lifestyle.jpg, https://zenmoissanite.com/cdn/shop/files/preview_images/1b55d0d8c8e2452b955fcf06c621cd63.thumbnail.0000000000_610x.jpg",https://zenmoissanite.com/cdn/shop/videos/c/vp/1b55d0d8c8e2452b955fcf06c621cd63/1b55d0d8c8e2452b955fcf06c621cd63.HD-1080p-7.2Mbps-14295967.mp4?v=0,"Crushed Ice, Brilliant","6mm (1.25cte), 6.5mm (1.6cte), 7mm (1.8cte), 7.5mm (2.3cte), 8mm (2.7cte), 8.5mm (3.2cte), 9mm (3.9cte), 9.5mm (4.7cte), 10mm (5.6cte), 10.5 (6.3cte), 11mm (7.5cte)",,"14k rose gold, 14k yellow gold, 14k white gold, 18k rose gold, 18k yellow gold, 18k white gold, platinum",,", 3.25, 3.5, 3.75, 4, 4.25, 4.5, 4.75, 5, 5.25, 5.5, 5.75, 6, 6.25, 6.5, 6.75, 7, 7.25, 7.5, 7.75, 8, 8.25, 8.5, 8.75, 9, 9.25, 9.5, 9.75, 10, 10.25, 10.5, 10.75, 11, 11.25, 11.5, 11.75, 12, 12.25, 12.5, 12.75, 12.75+ Please Contact our team for additional sizes",8mm squared brilliant radiant,14k yellow gold,Shown on a size 4.75 finger,Metal of choice + Moissanite from Zen Moissanite,Squared radiant (brilliant or crushed ice),VVS1/VVS2,Colorless (DEF),Our signature solitaire design featuring claw prongs and a hidden halo.
